Car Name,City,Price (PKR),Model Year,Mileage (km),Fuel Type,Engine CC,Transmission
KIA Picanto 1.0 AT,Karachi,2400000.0,2021,65945.0,Petrol,1000 cc,Automatic
Daihatsu Rocky G,Karachi,5275000.0,2019,41000.0,Petrol,1000 cc,Automatic
Mercedes Benz C Class C180 Exclusive,Karachi,14500000.0,2018,48200.0,Petrol,1600 cc,Automatic
KIA Sportage AWD,Karachi,7500000.0,2023,38703.0,Petrol,2000 cc,Automatic
Toyota Passo X,Karachi,4025000.0,2022,83000.0,Petrol,1000 cc,Automatic
Toyota Corolla Axio X 1.5,Karachi,3500000.0,2007,150000.0,Petrol,1500 cc,Automatic
Toyota Surf SSR-G 4.0,Karachi,11000000.0,2006,79000.0,Petrol,4000 cc,Automatic
Honda N Wgn,Karachi,4200000.0,2024,6466.0,Petrol,660 cc,Automatic
Honda Civic Reborn VTi Prosmatec 1.8 i-VTEC,Karachi,2400000.0,2011,121812.0,Petrol,1800 cc,Automatic
Honda N Wgn,Karachi,4000000.0,2024,887.0,Petrol,660 cc,Automatic
Toyota Prado 3rd (J120) Generation TX 4.0,Karachi,15700000.0,2009,122000.0,Petrol,4000 cc,Automatic
Toyota Land Cruiser AX,Karachi,22500000.0,2013,99000.0,Petrol,4600 cc,Automatic
Suzuki Swift DLX 1.3,Karachi,1745000.0,2013,150000.0,Petrol,1300 cc,Manual
Toyota Corolla,Karachi,3200000.0,2006,180.0,Petrol,1300 cc,Automatic
Daihatsu Charade GT-ti,Karachi,600000.0,1987,8000.0,Petrol,1000 cc,Manual
Ford F 150 Limited Edition,Karachi,14500000.0,2016,78000.0,Petrol,3500 cc,Automatic
Suzuki Every,Karachi,2450000.0,2021,138000.0,Petrol,660 cc,Automatic
BYD Atto 3 Advance,Karachi,8800000.0,2025,3441.0,Electric,49.92 kWh,Automatic
Suzuki Mehran VXR Euro II,Karachi,1065000.0,2015,72000.0,Petrol,800 cc,Manual
Hyundai Tucson FWD A/T GLS Sport,Karachi,8700000.0,2022,16200.0,Petrol,2000 cc,Automatic
Toyota Corolla,Karachi,1180000.0,1996,100000.0,Petrol,1300 cc,Manual
Hyundai Tucson AWD A/T Ultimate,Karachi,8650000.0,2022,16200.0,Petrol,2000 cc,Automatic
Honda City 5th (GM2) Generation Aspire Prosmatec 1.5 i-VTEC,Karachi,4350000.0,2021,33450.0,Petrol,1500 cc,Automatic
Mitsubishi EK Space Custom,Karachi,1900000.0,2015,64789.0,Petrol,660 cc,Automatic
Honda N Box Custom,Karachi,2190000.0,2014,71456.0,Petrol,658 cc,Automatic
Honda Vezel Hybrid RS Honda Sensing,Karachi,7800000.0,2018,72002.0,Hybrid,1500 cc,Automatic
